participant,block,label,valence,target,tablerow,keypress,acc,RT,target.val
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,COVID19,NEG,RASSICURANTE,15,2,1,2645,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,COVID19,NEG,PERICOLOSO,19,1,1,2554,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,VACCINO,POS,SPAVENTOSO,10,2,1,2021,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,COVID19,NEG,INNOCUO,14,2,1,1952,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,VACCINO,POS,CATTIVO,6,1,1,2078,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,VACCINO,POS,DANNOSO,8,1,1,3918,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,VACCINO,POS,INNOCUO,4,2,1,2823,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,COVID19,NEG,MORTALE,17,1,1,3971,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,VACCINO,POS,SALUTARE,2,1,1,2477,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,COVID19,NEG,BUONO,11,2,1,2229,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,VACCINO,POS,PERICOLOSO,9,1,1,2712,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,COVID19,NEG,SPAVENTOSO,20,2,1,4033,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,VACCINO,POS,RASSICURANTE,5,1,1,1933,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,VACCINO,POS,MORTALE,7,2,1,2013,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,COVID19,NEG,UTILE,13,1,1,3441,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,VACCINO,POS,BUONO,1,1,1,2651,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,COVID19,NEG,DANNOSO,18,2,1,1997,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,VACCINO,POS,UTILE,3,2,1,2327,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,COVID19,NEG,SALUTARE,12,1,1,1928,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceAfirst,COVID19,NEG,CATTIVO,16,1,1,2683,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,COVID19,POS,CATTIVO,16,2,1,2877,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,VACCINO,NEG,DANNOSO,8,1,1,2103,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,VACCINO,NEG,SPAVENTOSO,10,1,1,2045,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,VACCINO,NEG,MORTALE,7,1,1,2262,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,COVID19,POS,UTILE,13,2,1,2087,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,VACCINO,NEG,SALUTARE,2,2,1,3358,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,COVID19,POS,MORTALE,17,1,1,1903,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,VACCINO,NEG,CATTIVO,6,2,1,3100,NEG
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,VACCINO,NEG,INNOCUO,4,1,1,2086,POS
b47a0aab-45e6-4301-88f1-3762c0006fc1,practiceBfirst,COVID19,POS,SPAVENTOSO,20,2,1,3863,NEG
